"id","grupo","nombre_es","nombre_en","keyword_es","keyword_en","intencion","volumen_o_senal_demanda","evidencia_demanda","competencia_seo","competidores_con_landing_especifica","calidad_media_landings","valor_comercial_potencial","relacion_solicitudes_reales","relacion_capacidad_ibercarga","riesgo_canibalizacion","potencial_internacional","facilidad_produccion","puntuacion_0_100","prioridad","recomendacion","estado_actual","tipo_evidencia","fuentes"
"19","Carga","Transporte de calderas industriales","Industrial boiler transport","transporte calderas industriales","industrial boiler transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","56","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"20","Carga","Transporte de generadores","Generator transport","transporte generadores industriales","generator transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","55","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"21","Carga","Transporte de turbinas","Turbine transport","transporte turbinas","turbine transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","54","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"22","Carga","Transporte de grúas","Crane transport","transporte de grúas","crane transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","53","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"23","Carga","Transporte de equipos mineros","Mining equipment transport","transporte equipos mineros","mining equipment transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","52","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"24","Carga","Transporte de equipos portuarios","Port equipment transport","transporte equipos portuarios","port equipment transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","51","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"25","Carga","Transporte de prefabricados de hormigón","Precast concrete transport","transporte prefabricados hormigón","precast concrete transport","Comercial / transaccional B2B","Señal cualitativa alta; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Alta: servicio ya publicado por Ibercarga","Bajo","Sí; inferencia basada en terminología y oferta europea","Alta","76","P1","Construir/optimizar primero como par ES/EN con intención y alcance diferenciados","Ruta ES existente","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"26","Carga","Transporte de vigas prefabricadas","Precast beam transport","transporte vigas prefabricadas","precast beam transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","49","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"27","Carga","Transporte de dovelas","Tunnel segment transport","transporte dovelas","tunnel segment transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","48","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"28","Carga","Transporte de pilotes","Pile transport","transporte pilotes","precast pile transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","56","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"29","Carga","Transporte eólico","Wind turbine transport","transporte eólico","wind turbine transport","Comercial / transaccional B2B","Señal cualitativa alta; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Alta: servicio ya publicado por Ibercarga","Bajo","Sí; inferencia basada en terminología y oferta europea","Alta","81","P1","Construir/optimizar primero como par ES/EN con intención y alcance diferenciados","Ruta ES existente","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"30","Carga","Transporte de palas eólicas","Wind turbine blade transport","transporte palas eólicas","wind turbine blade transport","Comercial / transaccional B2B","Señal cualitativa alta; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","68","P2","Desarrollar tras validar capacidad y evitar solapamiento semántico","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"31","Carga","Transporte de torres eólicas","Wind tower section transport","transporte torres eólicas","wind tower section transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","53","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"32","Carga","Transporte de nacelles","Nacelle transport","transporte nacelles","wind turbine nacelle transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","52","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"33","Carga","Transporte de recipientes a presión","Pressure vessel transport","transporte recipientes presión","pressure vessel transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","51","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"34","Carga","Transporte de secciones de puente","Bridge section transport","transporte secciones puente","bridge section transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","50","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"35","Carga","Transporte de maquinaria de construcción","Construction equipment transport","transporte maquinaria construcción","construction equipment transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","49","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"36","Carga","Transporte de maquinaria agrícola","Agricultural machinery transport","transporte maquinaria agrícola especial","oversized agricultural machinery transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","48","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"37","Carga","Traslado de líneas de producción","Production line relocation","traslado líneas producción","production line relocation","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","56","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
"38","Carga","Transporte de prensas industriales","Industrial press transport","transporte prensas industriales","industrial press transport","Comercial / transaccional B2B","Señal cualitativa limitada; volumen: Sin dato verificado","SERP y autocompletado revisados; sin métrica cuantitativa verificable","Moderadamente atendida","1–4 en la muestra revisada","Variable / Sin dato cuantitativo","Alto por complejidad y valor de proyecto; inferencia","Sin dato verificado","Media: adyacente; validar capacidad operativa antes de publicar","Bajo","Sí; inferencia basada en terminología y oferta europea","Media","55","P3","Reservar; validar demanda y leads antes de redactar","Oportunidad propuesta","Inferencia estratégica salvo campos marcados como verificados","https://www.google.com/search?q=transporte+especial+España | https://www.google.com/search?q=heavy+haul+transport+Europe"
